short_name,character,unicode
activate-breakpoints,Џ,040F
add,Ѝ,040D
bell,✤,2724
cancel,✝,271D
clear-all,✢,2722
close-all,Ў,040E
collapse-all,✚,271A
compare-changes,✡,2721
debug-continue,Њ,040A
debug-disconnect,Є,0404
debug-pause,Љ,0409
debug-restart,✙,2719
debug-reverse-continue,Ћ,040B
debug-step-back,Ї,0407
debug-step-in,Ѕ,0405
debug-step-out,І,0406
debug-step-over,Ј,0408
debug,✓,2713
editor-layout,✛,271B
error,✠,2720
extensions,✔,2714
files,✐,2710
filter,✧,2727
fluent,З,0417
gear,✨,2728
github,Ж,0416
lightbulb,✦,2726
live-share,Е,0415
new-file,✗,2717
new-folder,✘,2718
person,✕,2715
play,✩,2729
remote-explorer,А,0410
remote,Д,0414
save,✜,271C
scm,✒,2712
search,✑,2711
settings,✖,2716
split-horizontal,✞,271E
split-vertical,✟,271F
stop,✪,272A
symbol-constructor,Б,0411
symbol-event,В,0412
symbol-variable,Г,0413
sync,✥,2725
trash,Ќ,040C
warning,✣,2723
